 0.000e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.133e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.267e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.400e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.533e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.667e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.800e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.933e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 9.067e-01       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.020e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.133e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.247e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.360e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.473e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.587e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.700e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.813e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 1.927e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.040e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.153e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.267e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.380e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.493e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.607e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.720e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.833e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 2.947e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.060e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.173e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.287e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.400e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.513e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.627e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.740e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.853e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 3.967e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.080e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.193e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.307e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.420e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.533e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.647e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.760e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.873e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 4.987e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.100e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.213e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.327e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.440e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.553e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.667e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.780e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 5.893e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.007e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.120e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.233e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.347e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.460e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.573e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.687e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.800e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 6.913e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.027e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.140e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.253e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.367e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.480e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.593e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.707e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.820e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 7.933e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 8.047e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 8.160e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 8.273e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 8.387e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 8.500e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
 8.613e+00       -nan       -nan [       -nan       -nan       -nan       -nan       -nan ]        nan
