[ 1.2002e+00 1.2002e+00 1.2002e+00 ] [ -1.0000e+00 ] -1.00000e+00 1.00000e+00 -1.40041e+00
[ 1.1911e+00 1.1911e+00 1.1911e+00 ] [ -1.0023e+00 ] -9.95434e-01 1.00227e+00 -1.40041e+00
[ 1.1845e+00 1.1845e+00 1.1845e+00 ] [ -1.0042e+00 ] -9.91544e-01 1.00417e+00 -1.40253e+00
[ 1.1799e+00 1.1799e+00 1.1799e+00 ] [ -1.0058e+00 ] -9.88283e-01 1.00576e+00 -1.40631e+00
[ 1.1770e+00 1.1770e+00 1.1770e+00 ] [ -1.0071e+00 ] -9.85474e-01 1.00711e+00 -1.41141e+00
[ 1.1752e+00 1.1752e+00 1.1752e+00 ] [ -1.0083e+00 ] -9.83026e-01 1.00827e+00 -1.41752e+00
[ 1.1745e+00 1.1745e+00 1.1745e+00 ] [ -1.0093e+00 ] -9.80876e-01 1.00929e+00 -1.42439e+00
[ 1.1745e+00 1.1745e+00 1.1745e+00 ] [ -1.0102e+00 ] -9.78980e-01 1.01018e+00 -1.43179e+00
[ 1.1751e+00 1.1751e+00 1.1751e+00 ] [ -1.0110e+00 ] -9.77306e-01 1.01096e+00 -1.43952e+00
[ 1.1762e+00 1.1762e+00 1.1762e+00 ] [ -1.0117e+00 ] -9.75830e-01 1.01165e+00 -1.44744e+00
[ 1.1777e+00 1.1777e+00 1.1777e+00 ] [ -1.0122e+00 ] -9.74536e-01 1.01225e+00 -1.45539e+00
[ 1.1795e+00 1.1795e+00 1.1795e+00 ] [ -1.0128e+00 ] -9.73407e-01 1.01277e+00 -1.46325e+00
[ 1.1815e+00 1.1815e+00 1.1815e+00 ] [ -1.0132e+00 ] -9.72431e-01 1.01322e+00 -1.47093e+00
[ 1.1836e+00 1.1836e+00 1.1836e+00 ] [ -1.0136e+00 ] -9.71597e-01 1.01360e+00 -1.47834e+00
[ 1.1858e+00 1.1858e+00 1.1858e+00 ] [ -1.0139e+00 ] -9.70896e-01 1.01392e+00 -1.48541e+00
[ 1.1880e+00 1.1880e+00 1.1880e+00 ] [ -1.0142e+00 ] -9.70315e-01 1.01419e+00 -1.49208e+00
[ 1.1902e+00 1.1902e+00 1.1902e+00 ] [ -1.0144e+00 ] -9.69845e-01 1.01440e+00 -1.49831e+00
[ 1.1924e+00 1.1924e+00 1.1924e+00 ] [ -1.0146e+00 ] -9.69477e-01 1.01457e+00 -1.50407e+00
[ 1.1945e+00 1.1945e+00 1.1945e+00 ] [ -1.0147e+00 ] -9.69200e-01 1.01470e+00 -1.50934e+00
[ 1.1965e+00 1.1965e+00 1.1965e+00 ] [ -1.0148e+00 ] -9.69005e-01 1.01478e+00 -1.51410e+00
[ 1.1984e+00 1.1984e+00 1.1984e+00 ] [ -1.0148e+00 ] -9.68882e-01 1.01484e+00 -1.51835e+00
[ 1.2001e+00 1.2001e+00 1.2001e+00 ] [ -1.0149e+00 ] -9.68823e-01 1.01487e+00 -1.52208e+00
[ 1.2017e+00 1.2017e+00 1.2017e+00 ] [ -1.0149e+00 ] -9.68819e-01 1.01487e+00 -1.52531e+00
[ 1.2032e+00 1.2032e+00 1.2032e+00 ] [ -1.0148e+00 ] -9.68863e-01 1.01485e+00 -1.52803e+00
[ 1.2045e+00 1.2045e+00 1.2045e+00 ] [ -1.0148e+00 ] -9.68948e-01 1.01481e+00 -1.53028e+00
[ 1.2056e+00 1.2056e+00 1.2056e+00 ] [ -1.0148e+00 ] -9.69066e-01 1.01476e+00 -1.53206e+00
[ 1.2065e+00 1.2065e+00 1.2065e+00 ] [ -1.0147e+00 ] -9.69211e-01 1.01469e+00 -1.53339e+00
[ 1.2073e+00 1.2073e+00 1.2073e+00 ] [ -1.0146e+00 ] -9.69380e-01 1.01461e+00 -1.53430e+00
[ 1.2079e+00 1.2079e+00 1.2079e+00 ] [ -1.0145e+00 ] -9.69565e-01 1.01453e+00 -1.53480e+00
[ 1.2083e+00 1.2083e+00 1.2083e+00 ] [ -1.0144e+00 ] -9.69765e-01 1.01444e+00 -1.53492e+00
[ 1.2086e+00 1.2086e+00 1.2086e+00 ] [ -1.0143e+00 ] -9.69974e-01 1.01434e+00 -1.53468e+00
[ 1.2087e+00 1.2087e+00 1.2087e+00 ] [ -1.0142e+00 ] -9.70190e-01 1.01425e+00 -1.53410e+00
[ 1.2087e+00 1.2087e+00 1.2087e+00 ] [ -1.0141e+00 ] -9.70410e-01 1.01414e+00 -1.53320e+00
[ 1.2086e+00 1.2086e+00 1.2086e+00 ] [ -1.0140e+00 ] -9.70631e-01 1.01404e+00 -1.53202e+00
[ 1.2082e+00 1.2082e+00 1.2082e+00 ] [ -1.0139e+00 ] -9.70853e-01 1.01394e+00 -1.53056e+00
[ 1.2078e+00 1.2078e+00 1.2078e+00 ] [ -1.0138e+00 ] -9.71074e-01 1.01384e+00 -1.52885e+00
[ 1.2073e+00 1.2073e+00 1.2073e+00 ] [ -1.0137e+00 ] -9.71291e-01 1.01374e+00 -1.52690e+00
[ 1.2066e+00 1.2066e+00 1.2066e+00 ] [ -1.0136e+00 ] -9.71506e-01 1.01364e+00 -1.52474e+00
[ 1.2058e+00 1.2058e+00 1.2058e+00 ] [ -1.0135e+00 ] -9.71715e-01 1.01355e+00 -1.52238e+00
[ 1.2049e+00 1.2049e+00 1.2049e+00 ] [ -1.0135e+00 ] -9.71921e-01 1.01345e+00 -1.51983e+00
[ 1.2040e+00 1.2040e+00 1.2040e+00 ] [ -1.0134e+00 ] -9.72121e-01 1.01336e+00 -1.51711e+00
[ 1.2029e+00 1.2029e+00 1.2029e+00 ] [ -1.0133e+00 ] -9.72315e-01 1.01327e+00 -1.51424e+00
