[ 9.7012e-01 ] -1.00000e+00 1.00000e+00 1.91463e+00
[ 8.9693e-01 ] -9.52445e-01 1.01282e+00 1.91463e+00
[ 8.1840e-01 ] -8.95736e-01 1.02445e+00 1.91877e+00
[ 7.5247e-01 ] -8.42132e-01 1.03198e+00 1.92658e+00
[ 6.8644e-01 ] -7.81584e-01 1.03666e+00 1.93762e+00
[ 6.1879e-01 ] -7.10304e-01 1.03727e+00 1.95149e+00
[ 5.5084e-01 ] -6.25244e-01 1.03155e+00 1.96771e+00
[ 4.8674e-01 ] -5.24692e-01 1.01649e+00 1.98578e+00
[ 4.3268e-01 ] -4.09145e-01 9.89135e-01 2.00517e+00
[ 3.9500e-01 ] -2.82197e-01 9.48027e-01 2.02531e+00
[ 3.7736e-01 ] -1.50804e-01 8.94717e-01 2.04570e+00
[ 3.7876e-01 ] -2.42587e-02 8.34272e-01 2.06585e+00
[ 3.9383e-01 ] 8.82220e-02 7.73918e-01 2.08539e+00
[ 4.1539e-01 ] 1.80238e-01 7.20395e-01 2.10405e+00
[ 4.3740e-01 ] 2.49663e-01 6.77755e-01 2.12165e+00
[ 4.5638e-01 ] 2.98159e-01 6.46897e-01 2.13809e+00
[ 4.7116e-01 ] 3.29522e-01 6.26493e-01 2.15333e+00
[ 4.8198e-01 ] 3.48047e-01 6.14282e-01 2.16741e+00
[ 4.8962e-01 ] 3.57549e-01 6.07973e-01 2.18033e+00
[ 4.9492e-01 ] 3.61004e-01 6.05672e-01 2.19218e+00
[ 4.9856e-01 ] 3.60567e-01 6.05963e-01 2.20300e+00
[ 5.0107e-01 ] 3.57724e-01 6.07857e-01 2.21288e+00
[ 5.0282e-01 ] 3.53468e-01 6.10686e-01 2.22187e+00
[ 5.0404e-01 ] 3.48454e-01 6.14012e-01 2.23006e+00
[ 5.0491e-01 ] 3.43103e-01 6.17552e-01 2.23749e+00
[ 5.0555e-01 ] 3.37681e-01 6.21129e-01 2.24424e+00
[ 5.0601e-01 ] 3.32355e-01 6.24633e-01 2.25037e+00
[ 5.0635e-01 ] 3.27224e-01 6.28000e-01 2.25592e+00
[ 5.0660e-01 ] 3.22346e-01 6.31192e-01 2.26095e+00
[ 5.0679e-01 ] 3.17747e-01 6.34194e-01 2.26550e+00
[ 5.0693e-01 ] 3.13440e-01 6.36998e-01 2.26962e+00
[ 5.0703e-01 ] 3.09422e-01 6.39609e-01 2.27334e+00
[ 5.0710e-01 ] 3.05687e-01 6.42031e-01 2.27671e+00
[ 5.0714e-01 ] 3.02220e-01 6.44274e-01 2.27974e+00
[ 5.0716e-01 ] 2.99007e-01 6.46350e-01 2.28248e+00
[ 5.0716e-01 ] 2.96032e-01 6.48268e-01 2.28495e+00
[ 5.0715e-01 ] 2.93279e-01 6.50041e-01 2.28717e+00
[ 5.0712e-01 ] 2.90730e-01 6.51679e-01 2.28917e+00
[ 5.0708e-01 ] 2.88371e-01 6.53194e-01 2.29097e+00
[ 5.0703e-01 ] 2.86184e-01 6.54595e-01 2.29258e+00
[ 5.0697e-01 ] 2.84157e-01 6.55894e-01 2.29403e+00
[ 5.0689e-01 ] 2.82276e-01 6.57097e-01 2.29532e+00
[ 5.0681e-01 ] 2.80527e-01 6.58215e-01 2.29648e+00
[ 5.0672e-01 ] 2.78899e-01 6.59255e-01 2.29751e+00
[ 5.0662e-01 ] 2.77380e-01 6.60223e-01 2.29843e+00
[ 5.0652e-01 ] 2.75961e-01 6.61128e-01 2.29924e+00
[ 5.0641e-01 ] 2.74632e-01 6.61974e-01 2.29996e+00
[ 5.0629e-01 ] 2.73385e-01 6.62768e-01 2.30060e+00
[ 5.0617e-01 ] 2.72211e-01 6.63514e-01 2.30116e+00
[ 5.0604e-01 ] 2.71103e-01 6.64218e-01 2.30165e+00
[ 5.0590e-01 ] 2.70055e-01 6.64884e-01 2.30207e+00
[ 5.0576e-01 ] 2.69061e-01 6.65515e-01 2.30244e+00
